restaurant_name,food_item,description,price,special_price,special_from,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
DINDIGUL VELU BRIYANI,Veg Noodles,,140,,,7,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,17,1
DINDIGUL VELU BRIYANI,Schezwan Veg Noodles,,150,,,7.5,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,17,2
DINDIGUL VELU BRIYANI,Mushroom Noodles,,170,,,8.5,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,17,3
DINDIGUL VELU BRIYANI,Panneer Noodles,,180,,,9,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,17,4
DINDIGUL VELU BRIYANI,Egg Noodles,,160,,,8,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,17,5
DINDIGUL VELU BRIYANI,Chicken Noodles,,170,,,8.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,17,6
DINDIGUL VELU BRIYANI,Schezwan Egg Noodles,,165,,,8.25,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,17,7
DINDIGUL VELU BRIYANI,Schezwan Chicken Noodles,,175,,,8.75,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,17,8
DINDIGUL VELU BRIYANI,Prawn Noodles,,210,,,10.5,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,17,9
DINDIGUL VELU BRIYANI,Mixed Noodles(Non Veg ),,220,,,11,Non Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,17,10
DINDIGUL VELU BRIYANI,Gobi 65,,130,,,6.5,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,18,1
DINDIGUL VELU BRIYANI,Mushroom 65,,150,,,7.5,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,18,2
DINDIGUL VELU BRIYANI,Panneer 65,,160,,,8,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,18,3
DINDIGUL VELU BRIYANI,Gobi Manchurian,,150,,,7.5,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,18,4
DINDIGUL VELU BRIYANI,Mushroom Manchurian,,170,,,8.5,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,18,5
DINDIGUL VELU BRIYANI,Panneer Manchurian,,180,,,9,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,18,6
DINDIGUL VELU BRIYANI,Chilli Gobi,,150,,,7.5,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,18,7
DINDIGUL VELU BRIYANI,Chilli Mushroom,,170,,,8.5,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,18,8
DINDIGUL VELU BRIYANI,Chilli Panneer,,180,,,9,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,18,9
DINDIGUL VELU BRIYANI,Hot Pepper Mushroom,,160,,,8,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,18,10
DINDIGUL VELU BRIYANI,Panneer Tikka,,230,,,11.5,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,18,11
DINDIGUL VELU BRIYANI,Chapathi,,35,,,1.75,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,19,1
DINDIGUL VELU BRIYANI,Butter Chapathi,,40,,,2,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,19,2
DINDIGUL VELU BRIYANI,Rotti,,40,,,2,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,19,3
DINDIGUL VELU BRIYANI,Naan,,40,,,2,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,19,4
DINDIGUL VELU BRIYANI,Kulcha,,45,,,2.25,Veg,11:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,19,5
